GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
140709A	01:13:41	304.666	51.222	1.0	98.6	53	2	3.1	0.3
140706A	19:33:33	49.269	-38.058	1.1	48.3	20	1	1.8	0.2
140703A	00:37:17	13.010	45.102	1.6	67.1	39	3	2.8	0.6
140629A	14:17:30	249.017	41.897	1.8	42.0	24	2	4.2	0.4
140628A	13:35:37	40.672	-0.378	1.0	10.5	13	1	2.8	0.2
140626A	00:33:01	77.163	-82.625	1.5	16.4	3.6	0.5	0.7	0.1
140622A	09:36:04	317.153	-14.412	2.5	0.13	0.27	0.05	0.6	0.2
140619A	11:38:35	27.096	-39.249	1.8	233.9	210	4	4.6	0.2
#	140614C	20:06:56	147.423	71.945	3	n/a	1.6	0.5	n/a	n/a
140614B	06:38:11	322.636	14.895	2.1	49.8	5.5	1.0	0.5	0.2
#	140614A	01:04:59	231.171	-79.110	2.4	720	13	4	n/a	n/a
#	140611A	03:51:04	349.939	-40.111	4	1.9	n/a	n/a	n/a	n/a
#	140610A	16:31:29	286.261	3.899	1.0	n/a	n/a	n/a	1.4	0.2
140607A	17:13:31	86.373	18.904	1.9	109.9	22	3	0.9	0.4
140606A	10:58:13	201.799	37.599	2.4	0.34	0.51	0.10	0.5	0.1
140529A	09:28:06	228.810	-41.042	1.2	4.5	22	1	11.5	0.7
140521A	17:34:18	320.177	67.587	1.1	9.88	9.5	0.6	1.9	0.2
140518A	09:17:46	227.231	42.396	1.8	60.5	10	1	1.0	0.1
140516A	20:30:54	252.972	39.958	2.6	0.19	0.23	0.06	0.5	0.1
140515A	09:12:36	186.071	15.099	1.2	23.4	5.9	0.6	0.9	0.1
140512A	19:31:49	289.366	-15.087	1.1	154.8	140	3	6.8	0.3
140509A	02:22:13	46.564	-62.662	1.9	23.20	12	2	1.6	0.4
140506A	21:07:36	276.806	-55.556	1.6	111.1	28	3	10.9	0.9
140502A	08:30:20	319.172	48.975	1.2	16.9	6.7	0.5	0.9	0.1
140430A	20:33:36	102.942	23.033	1.0	173.6	11	2	2.5	0.2
140428A	22:40:50	194.365	28.331	2.2	17.42	3.4	0.6	0.6	0.2
140423A	08:31:53	197.276	49.838	1.0	134	94	3	2.1	0.2
140419A	04:06:51	127.001	46.234	1.0	94.7	160	0	4.9	0.2
#	140414A	06:06:29	195.310	56.902	4	0.7	1.22	0.10	n/a	n/a
140413A	00:09:40	65.439	-51.188	1.3	139.6	94	5	2.3	0.5
140412A	22:20:49	145.032	-65.826	1.7	39.6	7.2	0.8	1.1	0.2
140408A	13:15:54	290.723	-12.585	1.9	4.00	3.1	0.5	1.2	0.3
#	140402A	00:10:06	207.592	5.971	2.8	0.031	0.38	0.12	n/a	n/a
140331A	05:49:48	134.860	2.755	3.2	209	6.7	1.3	0.31	0.13
140323A	10:23:11	356.975	-79.916	1.0	104.9	160	0	6.2	0.7
140320A	02:12:45	281.843	-11.188	2.4	0.45	0.49	0.10	0.6	0.2
140318A	00:09:07	184.049	20.225	2.1	8.43	2.9	0.5	0.5	0.2
#	140311B	21:14:29	252.333	52.733	1.2	70	n/a	n/a	n/a	n/a
140311A	21:05:16	209.293	0.607	3.8	71.4	23	3	1.3	0.5
140305A	15:00:20	344.497	15.448	1.7	13.7	4.7	0.7	1.0	0.2
140304A	13:22:31	30.653	33.480	1.0	15.6	12	1	1.7	0.2
140302A	08:12:58	253.862	-12.875	1.1	87.5	27	1	1.7	0.2
140301A	15:24:49	69.521	-34.249	1.9	31.0	4.4	0.8	0.7	0.2
