GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
111228A	15:44:43	150.063	18.284	1.4	101.20	85	2	12.4	0.5	0.714 (MMT: absorption)|0.716 (Gemini-South: absorption)| 0.7156 (TNG: absorption)|0.713 (NOT: absorption)|0.71627 (VLT: absorption)
111225A	03:50:37	13.158	51.573	1.3	106.8	13	1.2	0.7	0.1	0.297 (GTC: absorption)
#	111209A	07:12:08	14.350	-46.799	1.0	n/a	360	10	0.5	0.1	0.677 (arXiv:1302.2352v1)|0.677 (VLT: absorption)
111123A	18:13:21	154.845	-20.639	1.1	290.0	73	3	0.9	0.1	3.1516 (VLT: emission from host)
111107A	00:50:24	129.487	-66.520	1.2	26.6	8.8	0.8	1.2	0.2	2.893 (Gemini-South: absorption)| Consistent with Gemini-South (VLT: absorption)
111008A	22:12:58	60.439	-32.708	1.2	63.46	53	3	6.4	0.7	5.000 (Gemini-South: absorption)|4.9898 (VLT: absorption)
110818A	20:37:49	317.373	-63.981	1.4	103	40	2	1.6	0.3	3.360 (VLT: absorption)
110808A	06:18:54	57.322	-44.177	2.7	48	3.3	0.8	0.4	0.2	1.348 (VLT: emission)
110801A	19:49:42	89.415	80.958	1.1	385	47	3	1.1	0.2	1.858 (GTC: absorption)
110731A	11:09:30	280.513	-28.536	1.0	38.8	60	1	11.0	0.3	2.830 (Gemini-North: absorption)
#	110726A	01:30:40	286.713	56.070	1.7	5.2	2.2	0.3	1.0	0.2	1.036 < z < 2.7 (Gemini-North)
110715A	13:13:50	237.665	-46.237	1.0	13.0	118	2	53.9	1.1	0.820 (VLT: absorption)
