|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] |        Luminosity |  Luminosity_error |
| GRB081216531 |  1.37802364234 |  0.124069427359 |           1402.423 |                  198.606 | 2.01774043479e+53 | 3.06537598645e+52 |
| GRB081209981 |  1.17102159302 |    0.1502978407 |           758.3737 |                 149.1564 | 8.17555470963e+52 | 1.55591209195e+52 |
| GRB081204517 |  1.54402528575 |  0.365841050409 |           363.4103 |                  116.025 | 4.32679759994e+52 | 1.68037993053e+52 |
| GRB081122614 |  1.61702600846 |  0.495618101719 |           176.5214 |                 72.46069 |  1.9041025195e+52 | 9.85440673478e+51 |
| GRB081119184 |  1.56102545405 |   0.52704944958 |           57.25549 |                 14.17326 | 4.51094349535e+51 | 1.72654281425e+51 |
| GRB081107321 |  0.70401696967 |  0.134251085851 |           58.49905 |                 13.02623 | 2.73982317122e+51 | 4.63977342185e+50 |
| GRB081105614 |  1.35702343443 |  0.282898567405 |           324.8822 |                 98.74878 | 3.04554427898e+52 | 1.00332582605e+52 |
| GRB081102365 |  2.68403657187 |   1.44459423101 |           463.6771 |                 450.1094 | 7.61719245005e+52 | 1.26078860129e+53 |
| GRB081101491 |  1.75702739447 |  0.570163613697 |            207.753 |                 90.30927 | 2.42351494415e+52 |  1.4130402342e+52 |
| GRB081024891 |  5.18106129241 |    2.3023957101 |           1495.904 |                 1432.638 | 4.63408036335e+53 | 1.25607318854e+54 |
| GRB081024245 |  2.29803275043 |  0.758855848341 |           596.1074 |                 312.9762 |  1.0755772502e+53 | 8.83055664796e+52 |
| GRB081012045 |  3.58504549185 |   1.52813386785 |           1182.131 |                 1020.841 | 2.03278093182e+53 | 3.67742939593e+53 |
| GRB080919790 |  2.18003158222 |   1.24980455945 |           161.9193 |                 107.4857 | 2.23127271247e+52 | 2.47209188974e+52 |
| GRB080831053 |  1.67502658267 |   0.53351595334 |           162.8083 |                 63.37424 | 1.63865107759e+52 | 8.50707631503e+51 |
| GRB080802386 |  1.58502569166 |  0.385329482606 |           370.6485 |                 123.8498 | 4.51689789661e+52 | 1.85998241727e+52 |
| GRB080725541 |  2.72803700747 |   1.13123298277 |           470.4988 |                 333.6057 | 9.70503557449e+52 | 1.20764174725e+53 |
