| common ID | Swift name |   Fermi name | BAT Trigger-time | GBM Trigger-time | BAT RA | GBM RA | BAT Dec | GBM Dec | BAT T90 | GBM T90 | GBM T90_error |     GBM flux | GBM flux_error |    Epeak | Epeak_error |       alpha | alpha_error |      beta |   beta_error |
|    140713 |    140713A | GRB140713780 |           18.729 |           18.729 | 18.743 | 18.741 |  59.623 |  59.625 |     5.3 |   5.376 |         1.379 | 3.683916e-07 |   5.236676e-08 | 35.36683 |    14.98941 |   0.9430169 |    2.093757 | -1.819685 |    0.1329106 |
|    140709 |    140709B | GRB140709637 |           15.262 |           15.298 |  9.736 |  9.738 |  63.536 |  63.505 |   155.0 | 156.416 |          7.94 | 3.237266e-07 |   7.338538e-08 | 278.0638 |    146.9265 |  -0.9210922 |   0.2796498 | -3.799685 |     26.50765 |
|    140709 |    140709A | GRB140709051 |            1.228 |            1.228 | 20.311 | 20.309 |  51.222 |  51.223 |    98.6 |  69.633 |        21.549 | 6.030683e-07 |   5.491198e-08 | 52.11688 |    28.90453 |  -0.2108194 |    1.179068 | -1.814825 |    0.1120467 |
|    140706 |    140706A | GRB140706815 |           19.559 |           19.559 |  3.285 |  3.286 | -38.058 | -38.051 |    48.3 |  43.776 |         2.721 | 1.984334e-07 |   5.731035e-08 | 69.68122 |    39.35487 |   -1.178498 |   0.5847912 | -2.453383 |     1.015348 |
|    140703 |    140703A | GRB140703026 |            0.621 |            0.619 |  0.867 |  0.866 |  45.102 |  45.102 |    67.1 |  83.969 |         2.996 | 6.745515e-07 |   6.239824e-08 |  231.937 |    68.78095 |  -0.6993421 |    0.205836 | -2.343059 |    0.6634687 |
|    140521 |    140521A | GRB140521732 |           17.572 |           17.572 | 21.345 | 21.334 |  67.587 |    67.6 |    9.88 |   11.55 |         3.595 | 8.680287e-07 |   8.478821e-08 |  279.442 |     34.7258 |  -0.1227935 |   0.1893191 | -11.00556 |      24006.1 |
|    140512 |    140512A | GRB140512814 |            19.53 |           19.528 | 19.291 | 19.291 | -15.087 |   -15.1 |   154.8 |  147.97 |          2.36 | 2.412542e-06 |   1.095499e-07 | 574.5997 |    95.10731 |   -1.000091 |  0.05600901 | -4.373419 |     15.75352 |
|    140506 |    140506A | GRB140506880 |           21.127 |           21.127 | 18.454 | 18.452 | -55.556 | -55.635 |   111.1 |  64.128 |         2.005 | 2.063603e-06 |   1.239047e-07 | 137.9078 |    21.04441 |  -0.4840102 |    0.212411 | -2.426817 |    0.2519705 |
|    140502 |    140502A | GRB140502354 |            8.506 |            8.506 | 21.278 | 21.279 |  48.975 |   48.97 |    16.9 |  20.096 |         0.916 | 2.206688e-07 |   7.550232e-08 | 259.9511 |     216.991 |   -1.165115 |   0.3471958 | -11.15234 |     627880.0 |
|    140423 |    140423A | GRB140423356 |            8.531 |            8.544 | 13.152 | 13.153 |  49.838 |  49.842 |   134.0 |  95.233 |        11.585 | 4.531803e-07 |   7.436924e-08 | 176.3977 |    85.90405 |  -0.4857503 |    0.457935 | -2.060719 |     0.511084 |
|    140323 |    140323A | GRB140323433 |           10.386 |           10.381 | 23.798 | 23.797 | -79.916 | -79.905 |   104.9 | 111.426 |         3.027 | 2.014159e-06 |   8.799372e-08 | 293.1854 |    40.86175 |  -0.6311821 |  0.09391205 | -2.421018 |    0.3400456 |
|    140304 |    140304A | GRB140304557 |           13.375 |           13.375 |  2.044 |  2.043 |   33.48 |  33.474 |    15.6 |  31.232 |         8.719 | 3.665835e-07 |   6.775194e-08 | 165.1635 |    91.63031 |  -0.5597252 |   0.5317759 | -2.065304 |    0.5721725 |
|    140302 |    140302A | GRB140302342 |            8.216 |            8.216 | 16.924 | 16.924 | -12.875 | -12.878 |    87.5 |  67.584 |         5.655 | 6.767058e-07 |   1.010285e-07 | 318.9717 |    74.08353 |  -0.4589068 |   0.2442967 | -8.519495 |     4264.055 |
|    140213 |    140213A | GRB140213807 |            19.36 |           19.359 |  7.011 |  7.015 | -73.136 | -73.136 |    60.0 |  18.624 |         0.716 | 2.924191e-06 |    7.94907e-08 | 84.22611 |    3.368298 |  -0.8443649 |  0.05713401 | -2.891428 |    0.1713115 |
|    140209 |    140209A | GRB140209313 |            7.516 |            7.516 |  5.422 |  5.422 |  32.488 |  32.488 |    21.3 |   1.408 |         0.264 | 2.275049e-05 |   7.791028e-07 | 164.3572 |     14.2806 | -0.05764766 |   0.1289152 | -2.346873 |    0.1262428 |
|    140206 |    140206A | GRB140206304 |            7.289 |            7.304 |  9.688 |  9.689 |  66.762 |  66.761 |    93.6 |  27.264 |         1.243 | 2.626915e-06 |   9.661077e-08 | 112.1012 |    7.155801 |   0.6408532 |   0.2069289 |  -2.50134 |     0.120435 |
|    140108 |    140108A | GRB140108721 |           17.312 |           17.312 | 21.675 | 21.674 |  58.749 |  58.745 |    94.0 |  91.393 |          2.36 | 2.079857e-06 |   1.226916e-07 | 591.1335 |    144.7003 |   -1.064508 |  0.07989503 | -5.661914 |     102.7555 |
|    140102 |    140102A | GRB140102887 |           21.294 |           21.294 | 14.128 | 14.128 |   1.332 |   1.333 |    65.0 |   3.648 |         0.091 | 8.834506e-06 |   1.213616e-07 |  218.996 |    7.855827 |  -0.5107064 |  0.03425032 | -2.571846 |    0.1021446 |
|    131229 |    131229A | GRB131229277 |            6.657 |            6.657 |  5.682 |  5.682 |  -4.401 |  -4.396 |   13.86 |  12.992 |         0.231 | 7.493954e-06 |   1.461382e-07 | 396.1515 |    15.68882 | -0.05823789 |  0.05095374 |  -3.20905 |    0.3812058 |
|    131202 |    131202A | GRB131202633 |           15.202 |           15.203 | 22.934 | 22.937 |  -21.65 | -21.663 |    30.4 |  19.968 |         7.748 | 1.487975e-07 |   7.990451e-08 | 177.0398 |    104.2647 |  -0.6836072 |   0.6139118 | -6.174367 |     658.1033 |
|    131128 |    131128A | GRB131128629 |           15.107 |           15.107 | 23.687 | 23.687 |  31.293 |  31.306 |     3.0 |   1.984 |         0.543 | 4.657551e-07 |   1.159773e-06 | 86.62548 |    28.22983 |  -0.0229196 |   0.9697373 | -14.95361 |    3090877.0 |
|    131105 |    131105A | GRB131105087 |            2.079 |            2.082 |  4.732 |  4.734 | -63.005 | -62.981 |   112.3 | 112.642 |         0.462 | 1.613066e-06 |   8.845868e-08 | 453.4917 |    75.79134 |   -1.031655 |  0.06232928 | -16.37695 |   14813320.0 |
|    131004 |    131004A | GRB131004904 |           21.684 |           21.684 | 19.741 | 19.741 |  -2.952 |   -2.96 |    1.54 |   1.152 |          0.59 | 8.913636e-07 |   2.606967e-07 | 143.9829 |    89.52818 |   -1.253728 |   0.4618787 | -19.41504 | 3146108000.0 |
|    130912 |    130912A | GRB130912358 |            8.582 |            8.583 |  3.174 |  3.173 |  13.999 |  13.996 |    0.28 |   0.512 |         0.143 | 4.918628e-06 |   4.472189e-07 | 921.1737 |    399.8341 |  -0.9723992 |   0.1351082 |  -4.86418 |     32.70964 |
|    130803 |    130803A | GRB130803419 |           10.048 |           10.048 | 14.684 | 14.684 |  -2.499 |  -2.493 |    44.0 |   7.616 |         1.145 | 9.169332e-07 |   1.167075e-07 |  211.887 |    33.05087 |  -0.5559139 |   0.1588741 | -5.137987 |     36.85608 |
|    130727 |    130727A | GRB130727698 |           16.755 |           16.756 | 22.053 | 22.053 |  -65.54 | -65.538 |   13.57 |  12.992 |         0.871 | 1.242276e-06 |   1.002283e-07 |  170.969 |    25.40033 |  -0.9937836 |   0.1343876 |  -3.36309 |     2.164005 |
