|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] |        Luminosity |  Luminosity_error |
| 131001A | 0.818018098281 |  0.0203724484948 |      53.2075750062 |                      0.0 | 2.71111708806e+51 | 3.73374955156e+49 |
| 130929A |  1.39402380074 |  0.0522225274347 |      88.8837332235 |                      0.0 |  7.1369539317e+51 | 1.91334902459e+50 |
| 130919A |   4.0900504914 |  0.0842770581026 |      172.516009407 |                      0.0 | 4.07433102654e+52 | 8.29078152061e+50 |
| 130831B |  1.34002326613 |  0.0602603929976 |      110.665014053 |                      0.0 | 9.07867039605e+51 | 2.87333270578e+50 |
| 130829A |  3.98204942219 |  0.0701826554802 |      192.007493752 |                      0.0 | 4.52553847895e+52 | 7.83508856231e+50 |
| 130816B |  8.53309447754 |  0.0377349187869 |      917.258998315 |                      0.0 | 6.86764337857e+53 | 3.34094357207e+51 |
| 130816A |  1.70102684007 |  0.0438962077147 |      109.502452139 |                      0.0 | 1.06929338596e+52 | 2.13573254625e+50 |
| 130812A |  1.16302151382 |   0.018959888407 |      100.337606454 |                      0.0 | 7.30696286297e+51 | 7.87161275546e+49 |
| 130806A |  3.51504479885 |  0.0320749604372 |      297.100005917 |                      0.0 | 6.85895713587e+52 |  5.9884446148e+50 |
| 130725B |  1.37002356314 |  0.0266356529229 |      106.695046046 |                      0.0 | 8.82224308614e+51 | 1.21854503999e+50 |
| 130725A |  3.77104733327 |   0.139948647585 |      176.496952047 |                      0.0 | 3.86973491997e+52 | 1.39504456081e+51 |
| 130719A |  9.23610143731 |   0.107241163304 |      757.153111276 |                      0.0 | 5.92159913181e+53 |  7.6246133003e+51 |
| 130627B |  3.72804690757 |   0.104868087791 |       219.15688486 |                      0.0 | 4.99285385452e+52 | 1.36101311228e+51 |
| 130625A |   1.9910297111 |  0.0590435819569 |      116.484953681 |                      0.0 | 1.30756533319e+52 | 3.17224886237e+50 |
| 130615A |   5.0420599163 |   0.118801303699 |      314.699888577 |                      0.0 | 1.05279265519e+53 | 2.54408084563e+51 |
| 130608A |  4.26405221402 |   0.210698293697 |      213.483419803 |                      0.0 | 5.51695108042e+52 | 2.71388753373e+51 |
| 130605A |  0.50601500945 |  0.0319427938642 |      35.5729416716 |                      0.0 | 1.30913798298e+51 | 3.41256478659e+49 |
| 130603A |  6.40707342993 |  0.0489519967503 |      515.262609713 |                      0.0 | 2.47897599131e+53 | 2.01348298935e+51 |
| 130529A |  2.60503578976 |  0.0782212182173 |      86.2810637306 |                      0.0 | 1.13789572937e+52 | 3.03437565341e+50 |
| 130527A |  1.24102228602 |  0.0192452334894 |      552.322544992 |                      0.0 | 6.21518478005e+52 | 6.55968427575e+50 |
| 130521A |  1.53602520655 |  0.0328711528854 |      113.235267044 |                      0.0 | 1.03150002313e+52 | 1.64316999296e+50 |
| 130508A |  4.15805116461 |   0.120415520009 |      232.729945815 |                      0.0 | 5.98298267815e+52 | 1.71658948575e+51 |
| 130504A |  2.38803364144 |  0.0845041215913 |      121.812332835 |                      0.0 | 1.61113614621e+52 | 4.93871883124e+50 |
| 130419A |  7.54308467645 |   0.243147696983 |       304.02246775 |                      0.0 | 1.54483519353e+53 | 5.40367831272e+51 |
| 130327A |  2.17603154262 |  0.0816577738815 |       105.66346274 |                      0.0 | 1.24884362588e+52 | 3.94614167835e+50 |
| 130315A |  1.10902097921 |  0.0515101896422 |       40.249964072 |                      0.0 | 2.30585280722e+51 | 6.92142811518e+49 |
| 130211A |  3.16404132391 |   0.117206850578 |      152.790769245 |                      0.0 | 2.74180503906e+52 | 9.48476158574e+50 |
| 130206A |  9.38710293223 |   0.211943534007 |      443.335674518 |                      0.0 |  3.1225182193e+53 | 7.83037570563e+51 |
| 130131A |  3.23404201692 |  0.0588366756953 |      157.975620726 |                      0.0 | 2.91635018042e+52 |  4.9806327154e+50 |
| 130122A |  3.21704184862 |   0.102868515287 |      99.3934387292 |                      0.0 | 1.64187827687e+52 | 4.92229230911e+50 |
